Polymer_Matrix,Filler_Type,Filler_Ratio_wt%,Matrix_Ratio_wt%,Curing_Temperature_C,Curing_Time_hours,Pressure_MPa,Particle_Size_microns,Density_g_cm3,Tensile_Strength_MPa,Flexural_Strength_MPa,Impact_Strength_J_m,Thermal_Conductivity_W_mK,Glass_Transition_Temp_C,Thermal_Expansion_ppm_C,Electrical_Resistivity_Ohm_m,Dielectric_Constant,Dielectric_Strength_kV_mm
Phenolic,Flax Fibers,29.93292420985183,70.06707579014817,78.72223685309238,5.431879447396458,0.6750277604651747,434.4263114297182,1.4394633936788146,47.873240791369184,95.31210239809691,7.512127455203584,0.2597609003119406,140.16725176148134,62.48435466776273,840253098895.6346,2.6132147186269137,48.9468448256698
Phenolic,Hemp Fibers,14.561457009902096,85.4385429900979,133.42234736668553,5.06886493434492,2.99223202049866,189.51730321390895,1.3164916560792168,43.369636195695016,93.22221207676387,9.123722097281648,0.22444652122951025,118.41049763255539,67.11055768358082,962027161513.6338,3.5982058018709786,32.9982053444764
Polyester,Wood Flour,47.11008778424264,52.88991221575736,127.59458614146472,10.479163055878153,0.2580658969801205,123.137974554853,1.576880702273941,52.689332271215356,83.46660510383572,12.103317858048367,0.17227674929099657,86.15381990390176,60.995811129527496,6591130514787.5625,5.854981617804415,44.16182191076575
Phenolic,Coconut Coir,1.5656646227779292,98.43433537722207,161.07417295139982,11.894590934134845,4.011987336417963,464.06284423895914,1.2125253169822234,56.42070540830863,113.20757408683312,12.06680624597287,0.261929860753879,159.09079937846315,39.59244612835012,1003854995092.8081,5.637441859229696,33.22919910090383
Phenolic,Hemp Fibers,14.81367528520412,85.18632471479589,79.8320326875603,2.3440009483062667,4.291674658993059,203.49194390602915,1.3185094022816328,51.86863691892568,102.83777871879343,8.499189774836099,0.2688506456137596,94.02322620770572,20.84478936290507,842937114435.8398,3.593633222488428,39.89696834620275
Polyurethane,Bamboo Fibers,29.564889385386355,70.43511061461365,92.9666151588077,14.347355368649426,3.8909760600625196,486.13892674066085,1.4365191150830907,49.27190613252516,80.11346803347217,27.543049953617114,0.32252055755143255,177.33707363991257,63.303771269892394,93019875344.45895,3.7979170586192565,23.962391296646338
Epoxy,Wood Flour,28.163778598819185,71.83622140118081,143.46193037113528,5.065291996929265,6.08373205485039,274.52213473781984,1.4253102287905535,97.00236948807503,171.3471899409415,17.44521233705475,0.220950018030799,80.45918371021541,76.57121423347886,73181401645904.06,5.793760065686948,39.31747265638966
Phenolic,Chitosan Particles,6.104397735033667,93.89560226496633,102.75574056923699,21.95022571400659,2.79410926890789,327.36815906526755,1.2488351818802692,53.037508254870545,88.55700640772392,12.338709165533828,0.22802854860922875,50.07805654929737,41.154131380050146,1038185396086.2654,4.176296919869159,20.76295486000296
Vinyl Ester,Coconut Coir,10.938210978653512,89.06178902134648,126.97224024208094,10.884395763276897,0.7424332463789175,134.4185528278289,1.2875056878292281,84.53601995709663,141.5150063549976,18.58828553982695,0.17757651080405418,87.03140942579017,61.778256370387304,11058328873406.883,6.4174882445844315,20.183042548368995
Polyurethane,Chitosan Particles,49.282522705530035,50.717477294469965,89.04663258138005,16.786982042929328,7.640034191754304,126.44239655627584,1.5942601816442403,55.24217664552021,74.37779530365452,32.55711747202771,0.34141794107959644,159.23245229177894,42.06698796315519,66165945342.47481,5.977682068264687,37.17353987663131
